"SNR","prop_relevant","TPR_lasso","TPR_selinf","FDR_lasso","FDR_selinf","num_sel_lasso","num_sel_selinf"
4,0.1,1,0.272727272727273,0.717948717948718,0.4,39,5
4,0.1,1,0.0909090909090909,0.45,0,20,1
4,0.1,0.909090909090909,0.454545454545455,0.615384615384615,0.166666666666667,26,6
4,0.1,1,0.727272727272727,0.744186046511628,0,43,8
4,0.1,1,0.909090909090909,0.421052631578947,0.166666666666667,19,12
4,0.1,1,0.818181818181818,0.710526315789474,0.55,38,20
4,0.1,1,1,0.620689655172414,0.214285714285714,29,14
4,0.1,0.818181818181818,0,0.769230769230769,1,39,2
4,0.1,1,0.727272727272727,0.738095238095238,0.692307692307692,42,26
4,0.1,1,0.272727272727273,0.775510204081633,0.25,49,4
4,0.1,1,0.727272727272727,0.666666666666667,0,33,8
4,0.1,1,0.454545454545455,0.710526315789474,0.705882352941177,38,17
4,0.1,1,0.272727272727273,0.725,0.769230769230769,40,13
4,0.1,1,0.818181818181818,0.65625,0.1,32,10
4,0.1,1,0.909090909090909,0.592592592592593,0,27,10
4,0.1,1,0.454545454545455,0.666666666666667,0,33,5
4,0.1,1,0.545454545454545,0.694444444444444,0.4,36,10
4,0.1,0.909090909090909,0.363636363636364,0.444444444444444,0.333333333333333,18,6
4,0.1,1,0.0909090909090909,0.770833333333333,0.666666666666667,48,3
4,0.1,1,0.181818181818182,0.65625,0,32,2
4,0.1,1,0.363636363636364,0.633333333333333,0.555555555555556,30,9
4,0.1,1,0.636363636363636,0.725,0.125,40,8
4,0.1,1,0.636363636363636,0.694444444444444,0.3,36,10
4,0.1,0.818181818181818,0.454545454545455,0.769230769230769,0.166666666666667,39,6
4,0.1,1,0.181818181818182,0.738095238095238,0,42,2
4,0.1,1,0.545454545454545,0.645161290322581,0.4,31,10
4,0.1,1,0.909090909090909,0.725,0.0909090909090909,40,11
4,0.1,0.909090909090909,0.454545454545455,0.761904761904762,0.375,42,8
4,0.1,1,0.909090909090909,0.65625,0.230769230769231,32,13
4,0.1,0.909090909090909,0.272727272727273,0.75609756097561,0,41,3
4,0.1,1,0.636363636363636,0.744186046511628,0,43,7
4,0.1,1,0.545454545454545,0.731707317073171,0.142857142857143,41,7
4,0.1,1,0.545454545454545,0.725,0.25,40,8
4,0.1,1,0.272727272727273,0.765957446808511,0.4,47,5
4,0.1,1,0.454545454545455,0.760869565217391,0.285714285714286,46,7
4,0.1,1,0.545454545454545,0.702702702702703,0,37,6
4,0.1,1,0.909090909090909,0.620689655172414,0,29,10
4,0.1,1,0.545454545454545,0.725,0.6,40,15
4,0.1,1,0.454545454545455,0.755555555555556,0.666666666666667,45,15
4,0.1,0.909090909090909,0.545454545454545,0.666666666666667,0.142857142857143,30,7
4,0.1,1,0.363636363636364,0.645161290322581,0.666666666666667,31,12
4,0.1,1,0.909090909090909,0.710526315789474,0.0909090909090909,38,11
4,0.1,1,0.454545454545455,0.744186046511628,0.736842105263158,43,19
4,0.1,1,0.545454545454545,0.755555555555556,0.727272727272727,45,22
4,0.1,1,1,0.607142857142857,0,28,11
4,0.1,1,0.363636363636364,0.75,0.636363636363636,44,11
4,0.1,0.909090909090909,0.545454545454545,0.473684210526316,0.142857142857143,19,7
4,0.1,1,0.545454545454545,0.731707317073171,0,41,6
4,0.1,1,0.454545454545455,0.725,0,40,5
