"SNR","prop_relevant","TPR_lasso","TPR_selinf","FDR_lasso","FDR_selinf","num_sel_lasso","num_sel_selinf"
4,0.1,0.909090909090909,0.272727272727273,0.736842105263158,0.727272727272727,38,11
4,0.1,1,0.0909090909090909,0.710526315789474,0.666666666666667,38,3
4,0.1,1,0,0.666666666666667,1,33,3
4,0.1,1,0.0909090909090909,0.541666666666667,0.888888888888889,24,9
4,0.1,1,0.0909090909090909,0.75,0.833333333333333,44,6
4,0.1,0.818181818181818,0.636363636363636,0.55,0.416666666666667,20,12
4,0.1,1,0.454545454545455,0.717948717948718,0.75,39,20
4,0.1,1,0,0.725,1,40,1
4,0.1,0.909090909090909,0,0.736842105263158,NA,38,0
4,0.1,1,0.181818181818182,0.666666666666667,0,33,2
4,0.1,1,0.181818181818182,0.607142857142857,0.5,28,4
4,0.1,0.909090909090909,0,0.72972972972973,1,37,4
4,0.1,0.909090909090909,0.181818181818182,0.615384615384615,0.666666666666667,26,6
4,0.1,1,0.181818181818182,0.685714285714286,0.333333333333333,35,3
4,0.1,1,0.181818181818182,0.694444444444444,0.5,36,4
4,0.1,1,0.181818181818182,0.744186046511628,0.75,43,8
4,0.1,1,0.272727272727273,0.702702702702703,0.785714285714286,37,14
4,0.1,0.909090909090909,0.181818181818182,0.696969696969697,0,33,2
4,0.1,1,0.727272727272727,0.717948717948718,0.6,39,20
4,0.1,1,0.0909090909090909,0.725,0.5,40,2
4,0.1,1,0.636363636363636,0.731707317073171,0.666666666666667,41,21
4,0.1,1,0,0.645161290322581,NA,31,0
4,0.1,0.909090909090909,0.0909090909090909,0.655172413793103,0.666666666666667,29,3
4,0.1,1,0.0909090909090909,0.765957446808511,0.8,47,5
4,0.1,1,0.636363636363636,0.731707317073171,0.631578947368421,41,19
4,0.1,0.818181818181818,0,0.709677419354839,1,31,1
4,0.1,1,0,0.717948717948718,1,39,4
4,0.1,0.909090909090909,0.363636363636364,0.411764705882353,0,17,4
4,0.1,1,0.0909090909090909,0.694444444444444,0.8,36,5
4,0.1,1,0.0909090909090909,0.666666666666667,0.5,33,2
4,0.1,1,0.181818181818182,0.645161290322581,0.777777777777778,31,9
4,0.1,0.909090909090909,0.0909090909090909,0.565217391304348,0,23,1
4,0.1,0.909090909090909,0.727272727272727,0.772727272727273,0.724137931034483,44,29
4,0.1,1,0,0.738095238095238,1,42,1
4,0.1,1,0.0909090909090909,0.676470588235294,0.75,34,4
4,0.1,0.909090909090909,0.0909090909090909,0.743589743589744,0.857142857142857,39,7
4,0.1,1,0.636363636363636,0.702702702702703,0.666666666666667,37,21
4,0.1,1,0,0.744186046511628,NA,43,0
4,0.1,1,0.272727272727273,0.685714285714286,0.4,35,5
4,0.1,1,0.272727272727273,0.731707317073171,0.5,41,6
4,0.1,1,0.272727272727273,0.702702702702703,0.571428571428571,37,7
4,0.1,1,0.0909090909090909,0.702702702702703,0,37,1
4,0.1,1,0.545454545454545,0.788461538461538,0.7,52,20
4,0.1,0.909090909090909,0.0909090909090909,0.761904761904762,0.666666666666667,42,3
4,0.1,1,0.181818181818182,0.710526315789474,0.5,38,4
4,0.1,1,0.0909090909090909,0.725,0.5,40,2
4,0.1,0.909090909090909,0.272727272727273,0.666666666666667,0,30,3
4,0.1,0.909090909090909,0.363636363636364,0.722222222222222,0.5,36,8
4,0.1,0.909090909090909,0,0.67741935483871,NA,31,0
4,0.1,1,0.454545454545455,0.725,0.615384615384615,40,13
4,0.2,1,0.0476190476190476,0.533333333333333,0.833333333333333,45,6
4,0.2,1,0.333333333333333,0.571428571428571,0.611111111111111,49,18
4,0.2,0.904761904761905,0.0476190476190476,0.558139534883721,0.666666666666667,43,3
4,0.2,0.904761904761905,0.523809523809524,0.604166666666667,0.633333333333333,48,30
4,0.2,0.714285714285714,0.619047619047619,0.545454545454545,0.48,33,25
4,0.2,0.80952380952381,0,0.706896551724138,1,58,1
4,0.2,0.904761904761905,0,0.648148148148148,NA,54,0
4,0.2,0.761904761904762,0.0952380952380952,0.609756097560976,0.333333333333333,41,3
4,0.2,0.714285714285714,0.0476190476190476,0.594594594594595,0.75,37,4
4,0.2,1,0.333333333333333,0.625,0.666666666666667,56,21
4,0.2,1,0.19047619047619,0.5625,0.428571428571429,48,7
4,0.2,0.857142857142857,0,0.6,1,45,1
4,0.2,0.761904761904762,0.0476190476190476,0.515151515151515,0.5,33,2
4,0.2,0.952380952380952,0.0952380952380952,0.607843137254902,0.6,51,5
