"SNR","prop_relevant","TPR_lasso","TPR_selinf","FDR_lasso","FDR_selinf","num_sel_lasso","num_sel_selinf"
4,0.1,0.727272727272727,0.272727272727273,0.2,0,10,3
4,0.1,0.818181818181818,0.181818181818182,0.1,0,10,2
4,0.1,0.727272727272727,0,0.428571428571429,1,14,1
4,0.1,0.363636363636364,0.272727272727273,0,0,4,3
4,0.1,0.727272727272727,0.181818181818182,0,0,8,2
4,0.1,0.818181818181818,0.727272727272727,0.307692307692308,0.111111111111111,13,9
4,0.1,0.818181818181818,0.363636363636364,0.357142857142857,0.2,14,5
4,0.1,0.909090909090909,0.272727272727273,0.230769230769231,0,13,3
4,0.1,0.909090909090909,0.363636363636364,0.0909090909090909,0,11,4
4,0.1,0.636363636363636,0,0.363636363636364,NA,11,0
4,0.1,0.636363636363636,0.272727272727273,0,0,7,3
4,0.1,0.545454545454545,0.272727272727273,0.142857142857143,0,7,3
4,0.1,0.818181818181818,0.272727272727273,0.181818181818182,0,11,3
4,0.1,0.727272727272727,0.181818181818182,0,0,8,2
4,0.1,0.909090909090909,0.181818181818182,0.473684210526316,0,19,2
4,0.1,0.818181818181818,0.272727272727273,0.181818181818182,0,11,3
4,0.1,0.909090909090909,0.272727272727273,0.285714285714286,0,14,3
4,0.1,0.818181818181818,0.454545454545455,0.307692307692308,0.375,13,8
4,0.1,0.636363636363636,0.181818181818182,0,0,7,2
4,0.1,0.818181818181818,0.454545454545455,0.1,0,10,5
4,0.1,0.545454545454545,0.272727272727273,0.142857142857143,0,7,3
4,0.1,0.727272727272727,0.454545454545455,0,0,8,5
4,0.1,0.545454545454545,0.363636363636364,0.142857142857143,0,7,4
4,0.1,0.727272727272727,0.181818181818182,0.2,0,10,2
4,0.1,0.727272727272727,0.181818181818182,0.2,0,10,2
4,0.1,0.818181818181818,0.272727272727273,0.1,0,10,3
4,0.1,0.909090909090909,0.181818181818182,0.0909090909090909,0,11,2
4,0.1,1,0.272727272727273,0.153846153846154,0,13,3
4,0.1,0.818181818181818,0.181818181818182,0.181818181818182,0,11,2
4,0.1,0.818181818181818,0.181818181818182,0.1,0,10,2
4,0.1,0.909090909090909,0.181818181818182,0.285714285714286,0,14,2
4,0.1,0.636363636363636,0.272727272727273,0.5,0,14,3
4,0.1,0.818181818181818,0,0.307692307692308,1,13,1
4,0.1,0.818181818181818,0.363636363636364,0,0,9,4
4,0.1,0.909090909090909,0,0.0909090909090909,NA,11,0
4,0.1,0.545454545454545,0.181818181818182,0,0,6,2
4,0.1,0.636363636363636,0.363636363636364,0,0,7,4
4,0.1,0.909090909090909,0.363636363636364,0.0909090909090909,0,11,4
4,0.1,0.818181818181818,0.272727272727273,0.526315789473684,0.25,19,4
4,0.1,0.545454545454545,0.272727272727273,0.142857142857143,0,7,3
4,0.1,0.727272727272727,0.181818181818182,0,0,8,2
4,0.1,0.909090909090909,0.0909090909090909,0.411764705882353,0.5,17,2
4,0.1,0.818181818181818,0.272727272727273,0.307692307692308,0.4,13,5
4,0.1,0.454545454545455,0.0909090909090909,0.166666666666667,0,6,1
4,0.1,0.727272727272727,0.272727272727273,0,0,8,3
4,0.1,0.909090909090909,0.181818181818182,0.333333333333333,0,15,2
4,0.1,0.636363636363636,0.272727272727273,0.3,0,10,3
4,0.1,0.909090909090909,0.272727272727273,0,0,10,3
4,0.1,1,0,0.3125,NA,16,0
4,0.1,0.909090909090909,0.0909090909090909,0.285714285714286,0,14,1
