"SNR","prop_relevant","TPR_lasso","TPR_selinf","FDR_lasso","FDR_selinf","num_sel_lasso","num_sel_selinf"
4,0.1,0.454545454545455,0.363636363636364,0,0,5,4
4,0.1,0.818181818181818,0.727272727272727,0.181818181818182,0,11,8
4,0.1,0.636363636363636,0.454545454545455,0.222222222222222,0,9,5
4,0.1,0.909090909090909,0.0909090909090909,0.444444444444444,0.5,18,2
4,0.1,1,0.272727272727273,0.266666666666667,0,15,3
4,0.1,0.454545454545455,0.272727272727273,0,0,5,3
4,0.1,0.545454545454545,0.363636363636364,0.142857142857143,0,7,4
4,0.1,0.818181818181818,0.818181818181818,0.357142857142857,0,14,9
4,0.1,0.818181818181818,0.818181818181818,0.307692307692308,0,13,9
4,0.1,0.818181818181818,0.545454545454545,0.357142857142857,0,14,6
4,0.1,0.636363636363636,0.363636363636364,0.125,0,8,4
4,0.1,0.818181818181818,0.181818181818182,0.181818181818182,0,11,2
4,0.1,0.636363636363636,0.454545454545455,0,0,7,5
4,0.1,0.636363636363636,0.454545454545455,0.125,0,8,5
4,0.1,0.636363636363636,0.454545454545455,0.222222222222222,0,9,5
4,0.1,0.636363636363636,0.272727272727273,0.363636363636364,0,11,3
4,0.1,0.727272727272727,0.636363636363636,0.111111111111111,0,9,7
4,0.1,0.727272727272727,0.636363636363636,0,0,8,7
4,0.1,0.272727272727273,0.272727272727273,0,0,3,3
4,0.1,0.818181818181818,0.363636363636364,0.1,0,10,4
4,0.1,0.818181818181818,0.545454545454545,0.4,0,15,6
4,0.1,0.818181818181818,0.636363636363636,0.357142857142857,0,14,7
4,0.1,0.545454545454545,0.363636363636364,0,0,6,4
4,0.1,0.909090909090909,0.545454545454545,0.375,0,16,6
4,0.1,1,1,0.0833333333333333,0,12,11
4,0.1,0.545454545454545,0.363636363636364,0,0,6,4
4,0.1,0.909090909090909,0.454545454545455,0,0,10,5
4,0.1,0.363636363636364,0.181818181818182,0.428571428571429,0,7,2
4,0.1,0.909090909090909,0.818181818181818,0.166666666666667,0,12,9
4,0.1,0.727272727272727,0.636363636363636,0.272727272727273,0,11,7
4,0.1,0.909090909090909,0.909090909090909,0.0909090909090909,0,11,10
4,0.1,0.636363636363636,0.272727272727273,0,0,7,3
4,0.1,0.636363636363636,0.363636363636364,0.125,0,8,4
4,0.1,1,0.727272727272727,0.633333333333333,0,30,8
4,0.1,0.818181818181818,0.545454545454545,0.25,0,12,6
4,0.1,0.636363636363636,0.363636363636364,0.125,0.2,8,5
4,0.1,0.909090909090909,0.545454545454545,0.444444444444444,0,18,6
4,0.1,0.909090909090909,0.818181818181818,0.166666666666667,0,12,9
4,0.1,0.909090909090909,0.545454545454545,0.444444444444444,0,18,6
4,0.1,0.727272727272727,0.636363636363636,0.111111111111111,0,9,7
4,0.1,0.818181818181818,0.727272727272727,0.307692307692308,0.111111111111111,13,9
4,0.1,0.909090909090909,0.454545454545455,0.166666666666667,0,12,5
4,0.1,0.636363636363636,0.636363636363636,0.3,0.125,10,8
4,0.1,0.818181818181818,0.181818181818182,0.181818181818182,0,11,2
4,0.1,0.909090909090909,0.727272727272727,0.285714285714286,0,14,8
4,0.1,0.272727272727273,0.272727272727273,0,0,3,3
4,0.1,0.818181818181818,0.727272727272727,0.4375,0.111111111111111,16,9
4,0.1,0.818181818181818,0.545454545454545,0.25,0,12,6
4,0.1,0.636363636363636,0.181818181818182,0.125,0,8,2
